,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
51,1760.0,0,1.4,1,5,0,63.0,0.8,127.0,8,19,1382,1383,2053.0,19,12,16,0,1,0
52,1654.0,1,1.5,1,0,1,43.0,0.3,109.0,2,0,546,629,3112.0,12,5,10,1,1,0
53,1457.0,0,1.9,1,1,1,16.0,0.3,102.0,3,10,1013,1287,1440.0,17,8,12,1,0,1
54,1073.0,1,0.5,1,0,0,51.0,0.5,145.0,7,0,690,804,2908.0,6,0,18,0,1,0
55,1936.0,0,2.1,1,10,1,46.0,0.6,104.0,3,20,667,1036,2552.0,14,7,13,1,0,0
56,823.0,1,2.7,1,13,0,60.0,0.5,148.0,8,19,822,1449,905.0,14,11,17,1,1,1
57,987.0,0,1.3,1,0,1,61.0,0.4,107.0,3,9,581,820,3963.0,9,4,20,1,0,1
58,1757.0,0,0.5,0,8,0,49.0,0.5,180.0,6,14,265,713,2056.0,7,5,4,0,0,0
59,1063.0,0,1.4,1,2,1,48.0,1.0,128.0,5,4,127,683,2910.0,15,13,9,1,1,1
60,1484.0,0,3.0,0,3,0,12.0,0.6,134.0,3,5,916,969,1457.0,14,4,20,1,1,0
61,799.0,1,2.3,0,1,1,63.0,0.8,144.0,8,6,361,975,431.0,15,6,6,1,1,1
62,1156.0,1,1.2,1,0,1,50.0,0.8,159.0,2,0,322,547,470.0,7,0,15,1,1,0
63,1720.0,0,2.0,0,15,1,55.0,0.5,168.0,2,18,753,1353,2148.0,14,2,5,1,1,1
64,702.0,0,2.6,1,2,1,9.0,0.7,141.0,3,3,504,1570,2955.0,10,4,19,1,0,0
65,616.0,0,1.9,1,13,1,44.0,0.8,81.0,3,17,651,1618,3366.0,18,8,13,1,1,0
66,1358.0,1,0.5,0,11,1,36.0,0.3,155.0,4,14,1565,1858,3068.0,9,4,4,1,1,0
67,1866.0,0,1.4,0,0,0,30.0,0.5,182.0,3,0,108,1781,3834.0,16,11,8,0,0,0
68,1242.0,0,1.1,1,0,0,10.0,0.6,165.0,2,1,459,1225,1050.0,11,1,4,1,0,1
69,1166.0,0,1.5,1,0,1,43.0,0.8,80.0,4,1,205,603,3993.0,7,1,7,1,1,0
70,1448.0,1,0.5,1,6,1,45.0,0.8,138.0,7,11,570,1724,3378.0,13,11,2,1,1,1
71,1407.0,1,2.4,0,1,1,22.0,0.7,104.0,4,4,1172,1217,2192.0,9,7,13,1,0,1
72,605.0,0,1.0,0,8,1,9.0,0.1,142.0,3,16,160,1026,392.0,15,6,4,1,0,0
73,1038.0,0,1.2,0,3,0,43.0,0.7,141.0,1,5,4,638,3709.0,11,0,12,1,1,1
74,797.0,1,2.9,1,4,0,38.0,0.5,90.0,4,6,763,1413,590.0,9,2,6,0,1,0
75,819.0,0,0.6,1,8,1,42.0,0.9,188.0,6,20,339,1242,1814.0,5,4,13,1,0,1
76,1114.0,0,2.8,0,4,1,9.0,0.4,197.0,3,15,1040,1071,907.0,10,7,17,1,1,0
77,1234.0,1,1.6,1,1,0,33.0,0.6,172.0,1,3,166,778,1449.0,11,7,6,0,0,1
78,1199.0,1,2.5,1,15,1,16.0,0.2,116.0,4,20,1168,1552,3448.0,17,13,10,1,0,1
79,1103.0,0,1.0,1,6,0,29.0,0.7,111.0,6,8,990,1486,2146.5,8,7,16,0,1,1
80,1589.0,1,0.6,1,0,1,58.0,0.9,85.0,7,7,319,1206,3464.0,19,10,6,1,1,1
81,1225.0,0,2.9,1,11,1,64.0,0.2,199.0,4,19,1397,1616,2593.0,14,11,16,1,1,0
82,1510.0,1,0.9,1,2,0,45.0,0.9,180.0,5,3,708,1752,3484.0,9,6,11,0,1,1
83,1008.0,0,0.8,0,11,0,61.0,1.0,114.0,3,15,1077,1122,2009.0,10,3,11,1,0,0
84,1127.0,1,2.9,1,5,1,57.0,0.8,163.0,1,13,928,1049,2048.0,11,5,17,1,1,1
85,1412.0,1,2.4,0,5,0,25.0,0.8,96.0,8,17,516,1894,837.0,15,9,4,0,0,1
86,1496.0,1,2.0,1,4,0,42.0,0.5,182.0,5,5,96,741,854.0,16,0,7,0,1,1
87,1083.0,1,2.9,1,1,1,64.0,0.8,178.0,3,11,1025,1118,3210.0,13,3,4,1,0,0
88,668.0,0,0.5,1,0,0,3.0,0.1,155.0,5,13,666,1203,2746.0,9,5,8,1,1,1
89,1309.0,0,1.1,1,0,0,33.0,0.5,100.0,4,14,557,1402,2334.0,10,1,11,1,0,1
90,1724.0,0,2.0,1,2,1,57.0,0.5,177.0,3,5,1605,1924,2822.0,19,3,16,1,1,0
91,1977.0,1,2.0,1,7,1,54.0,1.0,171.0,7,18,1226,1242,1971.0,18,7,14,1,1,0
92,885.0,0,2.3,1,0,1,15.0,0.4,103.0,7,0,769,802,1410.0,16,10,5,1,1,1
93,879.0,1,2.5,0,11,1,14.0,0.7,83.0,6,15,403,1105,349.0,16,10,2,1,0,1
94,1322.0,0,1.7,1,6,0,7.0,0.8,140.0,3,9,177,1990,1418.0,19,17,12,0,1,0
95,1137.0,1,1.0,0,18,0,7.0,1.0,196.0,3,19,942,1179,3616.0,13,5,12,1,1,1
96,1355.0,0,2.3,0,10,1,23.0,0.2,132.0,5,16,651,891,880.0,19,4,8,1,1,0
97,1665.0,1,0.5,0,3,1,60.0,0.2,194.0,6,18,1572,1684,1601.0,18,17,14,1,0,0
98,657.0,0,2.5,0,0,0,37.0,0.7,141.0,2,1,476,961,1412.0,14,3,18,0,1,0
99,593.0,0,0.5,0,6,0,31.0,0.4,156.0,7,7,1233,1317,1692.0,6,2,7,1,0,0
100,1883.0,1,0.5,0,3,1,10.0,0.3,146.0,6,13,836,1739,2600.0,16,8,20,1,0,0
101,1732.0,1,1.1,0,4,1,12.0,0.8,119.0,8,9,824,881,1308.0,16,7,11,1,0,1
102,543.0,0,0.5,0,0,0,57.0,0.7,192.0,5,4,391,984,2413.0,17,14,15,1,0,0
103,1939.0,1,2.8,1,0,1,55.0,0.6,199.0,4,10,320,520,1047.0,14,10,18,1,1,0
104,553.0,0,2.4,1,1,1,8.0,0.5,121.0,7,3,325,902,1204.0,11,4,8,1,1,1
105,832.0,0,0.7,1,2,1,39.0,0.7,103.0,4,3,125,1504,1799.0,5,2,11,1,0,1
106,1661.0,0,1.9,1,5,0,23.0,1.0,172.0,5,10,846,1634,2676.0,12,6,11,0,1,1
107,1657.0,1,2.4,0,3,0,42.0,0.1,198.0,5,16,1770,1796,2597.0,18,1,14,1,0,0
108,1135.0,1,2.0,1,0,0,46.0,0.3,83.0,1,4,293,1846,3029.0,19,17,9,1,1,1
109,1775.0,1,1.5,0,3,0,41.0,0.1,163.0,1,7,1633,1869,2343.0,19,13,14,1,1,1
110,783.0,0,1.8,1,0,1,43.0,1.0,106.0,3,4,1198,1471,2016.0,16,4,18,1,1,0
111,617.0,1,2.3,0,0,0,32.0,0.5,141.0,7,20,768,874,2213.0,18,13,7,0,0,0
112,867.0,0,1.4,1,0,1,4.0,0.7,135.0,6,1,70,1974,790.0,13,6,3,1,1,0
113,1225.0,1,1.1,1,13,0,7.0,1.0,194.0,5,14,117,513,3182.0,8,4,5,1,1,0
114,1804.0,0,0.5,0,9,1,22.0,0.6,153.0,7,19,1158,1244,3472.0,9,1,20,1,0,1
115,1900.0,1,2.3,0,1,1,18.0,0.2,89.0,7,9,1055,1661,2871.0,12,1,13,1,1,1
116,909.0,1,1.4,0,0,0,53.0,0.3,82.0,8,0,635,973,3187.0,12,9,4,1,0,0
117,1084.0,1,2.6,0,3,1,40.0,0.9,107.0,3,11,322,771,1945.0,15,4,10,1,1,0
118,1308.0,0,1.3,1,8,0,46.0,0.9,199.0,1,12,275,989,488.0,5,3,9,0,1,0
119,1778.0,0,0.5,0,0,0,15.0,0.5,102.0,3,0,1445,1954,1214.0,5,0,14,1,0,0
120,1701.0,1,1.6,1,3,0,10.0,0.3,194.0,8,7,550,1338,2598.0,12,9,6,0,1,0
121,772.0,1,2.4,1,1,1,10.0,0.5,80.0,4,2,1242,1712,3242.0,18,11,4,1,1,0
122,825.0,1,0.5,1,7,0,52.0,0.9,130.0,3,10,597,863,3534.0,10,4,6,0,1,0
123,1379.0,0,1.1,0,5,1,36.0,0.8,200.0,2,7,538,1376,3426.0,5,4,17,1,1,1
124,1166.0,0,2.0,0,3,1,25.0,0.8,198.0,5,4,59,1203,2488.0,13,5,15,1,0,0
125,1659.0,0,2.8,0,5,0,16.0,0.6,89.0,1,20,819,902,3255.0,19,14,9,0,0,1
126,826.0,1,2.4,1,0,1,58.0,0.3,88.0,4,1,179,786,2863.0,9,3,18,1,0,1
127,1564.0,0,2.3,0,4,1,25.0,0.5,189.0,6,17,1259,1965,1496.0,6,4,7,1,1,1
128,1957.0,0,0.9,1,11,0,31.0,0.6,181.0,3,16,396,1732,3801.0,12,0,7,1,0,1
129,1571.0,0,1.4,0,0,1,19.0,0.1,100.0,6,1,713,1398,2146.5,12,10,13,1,1,0
130,1414.0,0,2.0,1,2,0,54.0,0.8,99.0,7,3,262,829,3799.0,17,7,7,1,0,1
131,1790.0,0,2.5,1,9,0,2.0,0.1,184.0,1,14,622,792,1366.0,7,0,20,1,1,1
132,645.0,0,0.5,0,1,0,41.0,1.0,197.0,7,10,327,580,2962.0,12,9,4,1,1,1
133,668.0,0,2.9,1,7,0,30.0,0.2,195.0,8,12,522,1056,2399.0,10,5,7,1,1,1
134,1652.0,1,1.1,1,1,0,36.0,0.7,89.0,4,5,313,1264,2338.0,12,8,20,0,0,0
135,1213.0,1,0.5,0,0,0,16.0,0.5,108.0,5,0,226,1248,2700.0,12,3,9,0,0,1
136,1272.0,1,2.5,1,0,0,22.0,0.9,133.0,6,8,605,669,2235.0,19,4,4,1,0,0
137,866.0,0,0.5,1,5,1,46.0,0.5,179.0,8,7,692,1686,3825.0,12,11,2,1,1,1
138,536.0,0,2.4,1,12,1,3.0,0.3,182.0,7,14,1386,1539,284.0,12,9,4,1,1,0
139,523.0,0,2.6,1,1,0,14.0,0.1,155.0,8,2,304,1042,1427.0,9,1,9,0,1,0
140,1753.0,0,0.5,1,0,1,31.0,0.1,134.0,1,18,1590,1926,1324.0,17,0,17,1,0,1
141,1218.0,0,1.8,1,1,1,14.0,0.5,147.0,3,4,229,616,398.0,17,0,5,1,0,0
142,1537.0,1,2.5,0,4,1,43.0,0.3,137.0,1,5,839,1131,3685.0,18,17,17,1,1,1
143,786.0,0,2.2,1,0,0,33.0,0.5,141.0,7,6,507,1697,2390.0,12,11,5,1,0,1
144,1678.0,0,2.1,0,3,1,64.0,0.9,134.0,3,11,436,536,278.0,19,0,10,1,1,0
145,1814.0,0,1.4,1,1,1,9.0,0.4,141.0,2,2,756,786,3556.0,18,12,16,1,0,0
146,1101.0,0,1.8,0,0,0,31.0,0.2,148.0,2,7,387,1269,2196.0,12,6,19,0,1,1
147,1461.0,0,2.4,1,3,1,40.0,0.5,141.0,7,4,1265,1298,3799.0,16,1,4,1,0,0
148,1216.0,0,3.0,0,4,0,47.0,0.4,199.0,3,7,1852,1967,2268.0,13,5,4,0,1,1
149,506.0,0,1.6,0,6,1,41.0,0.8,159.0,1,7,875,1025,2965.0,13,10,15,1,0,0
150,843.0,1,0.5,0,1,1,56.0,0.1,147.0,5,17,140,800,2341.0,10,1,20,1,1,1
151,742.0,0,2.2,1,4,0,56.0,0.2,190.0,7,14,577,1359,3557.0,16,11,12,0,1,1
152,1225.0,1,2.1,0,3,1,61.0,0.9,176.0,6,12,975,1996,1354.0,16,7,19,1,0,0
153,1485.0,0,1.0,0,2,1,32.0,0.7,84.0,2,9,510,1013,2147.0,19,1,11,1,1,0
154,1547.0,0,2.9,1,6,0,45.0,0.7,166.0,2,8,583,590,505.0,12,2,3,0,1,1
155,1692.0,0,2.3,1,4,1,46.0,0.9,139.0,1,6,674,1925,1394.0,16,10,6,1,1,0
156,637.0,0,2.3,0,3,1,60.0,0.8,97.0,4,4,1125,1989,374.0,18,4,8,1,0,1
157,1224.0,0,0.5,0,16,1,6.0,0.4,109.0,6,18,747,826,506.0,10,0,11,1,1,1
158,1356.0,0,2.8,0,0,0,29.0,0.5,198.0,6,0,1612,1983,3702.0,17,0,19,0,0,0
159,1840.0,0,0.5,1,12,0,34.0,0.7,142.0,1,16,311,1545,1078.0,8,0,10,0,0,0
160,1481.0,1,0.7,1,4,1,37.0,0.6,96.0,5,13,116,1533,2945.0,10,5,16,1,1,1
161,961.0,1,1.5,1,10,0,51.0,0.3,152.0,6,16,554,621,2981.0,15,6,7,1,1,1
162,1296.0,0,0.9,1,0,1,14.0,0.5,124.0,5,3,811,1272,490.0,7,1,4,1,1,1
163,1193.0,0,0.9,0,11,0,26.0,0.5,166.0,1,20,730,1729,536.0,17,14,4,1,0,1
164,1441.0,0,2.1,1,11,1,3.0,0.1,118.0,8,17,577,1071,2317.0,16,4,7,1,0,1
165,517.0,0,1.4,1,3,1,33.0,0.8,183.0,4,8,660,974,3704.0,17,16,11,1,0,1
166,748.0,1,1.7,0,0,1,27.0,0.9,150.0,8,4,450,1554,2126.0,18,9,7,1,0,0
167,1126.0,1,2.4,0,2,1,10.0,0.4,160.0,6,3,1223,1611,2050.0,7,6,12,1,1,1
168,1572.0,0,0.6,0,0,1,58.0,0.2,157.0,7,8,1109,1937,2462.0,12,8,10,1,0,0
169,1569.0,0,2.8,1,17,0,44.0,0.3,110.0,4,20,45,1942,1260.0,9,2,17,1,0,0
170,1270.0,1,0.6,1,2,1,32.0,0.5,101.0,7,6,299,845,3770.0,5,3,13,1,1,0
171,1854.0,0,3.0,0,2,1,8.0,0.1,101.0,5,5,506,627,1886.0,17,4,20,1,1,0
172,625.0,1,1.2,1,5,1,10.0,0.2,183.0,4,8,635,842,2146.5,9,1,7,1,1,1
173,1577.0,0,0.5,1,0,1,42.0,0.3,197.0,5,4,1045,1737,2060.0,19,6,12,1,0,0
174,534.0,0,0.5,1,0,1,16.0,1.0,189.0,5,1,393,1199,3926.0,16,12,20,1,0,0
175,946.0,0,1.7,1,8,1,25.0,0.8,143.0,6,15,650,1740,2177.0,7,5,13,1,1,1
176,685.0,0,0.5,0,2,0,29.0,0.8,93.0,7,10,433,648,728.0,14,8,4,0,0,1
177,1949.0,0,1.3,1,0,0,23.0,0.1,101.0,5,1,839,1136,2478.0,14,8,20,1,0,0
178,947.0,0,0.8,1,0,1,22.0,0.1,197.0,2,13,1176,1220,2842.0,16,12,2,1,0,0
179,801.0,1,2.2,1,2,0,63.0,0.4,165.0,7,4,650,879,1617.0,17,4,19,0,0,1
180,703.0,1,2.7,0,12,1,30.0,0.3,113.0,1,20,218,1065,1472.0,14,7,7,1,0,0
181,1165.0,1,2.4,0,11,0,41.0,0.2,178.0,6,12,564,831,764.0,19,12,15,1,0,0
182,1082.0,0,0.8,0,0,0,38.0,0.1,198.0,8,5,986,1191,2337.0,6,1,17,0,1,1
183,959.0,1,2.6,1,15,0,20.0,1.0,84.0,4,19,561,1631,3965.0,16,1,6,1,0,0
184,1502.0,1,1.2,0,0,0,54.0,0.2,138.0,5,12,65,588,3693.0,17,14,16,1,1,0
185,1380.0,1,2.1,1,1,1,4.0,0.8,92.0,3,13,420,500,797.0,13,2,15,1,1,0
186,1266.0,0,0.5,0,0,1,5.0,0.1,95.0,6,9,1365,1698,1687.0,11,0,18,1,0,0
187,1934.0,1,2.6,1,0,1,46.0,0.1,103.0,1,17,619,1299,2940.0,13,9,2,1,1,1
188,1905.0,1,0.5,0,3,1,6.0,0.5,151.0,1,5,849,898,1545.0,9,5,10,1,1,0
189,1831.0,0,1.4,1,2,0,43.0,0.9,150.0,5,5,611,1381,3834.0,17,7,13,1,1,1
190,596.0,0,1.4,0,8,0,46.0,0.6,165.0,1,18,953,984,2505.0,15,4,15,1,1,0
191,1562.0,1,1.3,1,1,1,7.0,0.2,190.0,5,15,642,1533,2243.0,12,10,6,1,0,0
192,1490.0,1,0.5,1,4,1,64.0,0.3,150.0,8,8,1417,1464,3600.0,17,9,7,1,1,1
193,1523.0,1,2.4,0,5,1,57.0,0.2,141.0,2,6,247,539,3971.0,18,12,10,1,1,1
194,640.0,0,0.6,0,0,0,20.0,0.1,163.0,4,15,710,1179,2844.0,7,5,18,1,1,0
195,1526.0,0,2.1,0,1,1,23.0,0.2,117.0,7,8,718,751,2227.0,18,10,3,1,1,0
196,1989.0,0,2.5,1,0,1,41.0,0.8,94.0,3,13,1100,1497,1665.0,17,9,12,1,1,1
197,1308.0,0,1.9,0,0,1,61.0,0.7,106.0,3,7,59,1215,3355.0,15,2,4,1,0,1
198,609.0,0,0.5,0,3,0,26.0,0.3,93.0,4,4,938,1948,1866.0,11,10,14,1,1,1
199,1905.0,0,0.6,1,9,1,36.0,0.4,119.0,3,20,825,1542,1287.0,13,4,16,1,0,0
200,1703.0,1,0.5,0,0,1,22.0,0.6,192.0,1,0,286,1235,1046.0,5,4,13,1,0,1
201,1445.0,1,2.4,1,7,1,20.0,0.4,173.0,7,15,1273,1345,1441.0,7,4,13,1,1,1
202,1087.0,0,1.3,0,0,1,16.0,0.3,166.0,3,9,295,589,690.0,14,6,6,1,0,1
203,671.0,0,0.9,1,10,0,30.0,0.7,105.0,7,17,852,1182,2504.0,6,4,15,1,0,0
204,1472.0,1,2.3,0,6,0,61.0,0.1,168.0,6,19,710,1052,2677.0,19,15,8,1,0,0
205,765.0,0,0.5,1,0,1,47.0,0.3,115.0,8,1,1277,1429,2243.0,11,7,4,1,0,1
206,1642.0,0,0.5,1,16,1,8.0,0.3,171.0,6,17,129,873,2984.0,13,4,17,1,0,1
207,1265.0,0,1.5,0,7,0,49.0,0.7,182.0,5,16,690,836,1362.0,5,0,12,0,0,1
208,664.0,1,1.1,1,1,1,51.0,0.1,110.0,7,4,701,1478,3629.0,19,15,6,1,1,1
209,1277.0,1,0.5,1,0,1,35.0,0.4,142.0,6,6,309,1460,3559.0,18,17,6,1,1,0
210,1395.0,0,1.8,1,0,0,23.0,0.1,111.0,3,1,213,705,2571.0,11,0,13,1,0,1
211,1539.0,1,2.6,0,0,0,41.0,0.1,159.0,8,0,1112,1666,2107.0,15,9,10,1,0,1
212,1049.0,1,2.2,0,9,0,63.0,0.5,135.0,5,17,199,1077,2146.5,11,3,13,0,0,0
213,1827.0,0,1.7,0,4,1,39.0,0.5,128.0,5,16,55,1020,2844.0,14,9,10,1,1,0
214,903.0,0,1.0,1,0,1,50.0,0.4,91.0,1,0,1230,1235,711.0,9,5,10,1,1,0
215,1987.0,1,0.5,0,3,1,53.0,1.0,181.0,3,7,1052,1516,3117.0,18,5,8,1,1,1
216,1154.0,0,1.2,1,0,1,49.0,0.2,181.0,8,2,541,1499,978.0,5,3,7,1,0,1
217,1336.0,0,0.9,0,5,1,17.0,0.2,194.0,5,9,55,583,1869.0,13,1,16,1,1,1
218,1886.0,0,0.5,0,0,1,24.0,0.4,112.0,3,1,809,1958,1179.0,16,7,20,1,0,1
219,1551.0,0,1.1,0,4,0,51.0,0.1,88.0,5,6,1738,1995,3844.0,11,8,4,0,1,0
220,850.0,1,1.6,1,6,1,29.0,0.5,133.0,5,19,404,642,593.0,19,17,10,1,0,1
221,660.0,0,0.5,0,5,1,40.0,0.5,111.0,2,10,262,1178,588.0,6,5,18,1,1,1
222,1225.0,1,2.1,1,8,0,13.0,0.5,116.0,4,12,759,1404,3836.0,12,11,11,0,0,0
223,1452.0,1,0.5,1,1,1,25.0,0.9,123.0,6,11,42,1040,2669.0,12,10,13,1,0,0
224,1686.0,1,2.8,1,3,0,38.0,0.1,166.0,4,4,397,1453,2958.0,14,11,2,0,0,0
225,1634.0,1,1.4,0,1,1,17.0,0.2,200.0,2,5,964,1677,3031.0,11,6,6,1,1,1
226,1708.0,1,2.4,1,18,1,49.0,0.1,109.0,1,19,233,517,3388.0,6,4,16,1,1,1
227,1151.0,1,2.9,1,0,0,31.0,0.6,128.0,8,1,1022,1560,2377.0,18,8,13,0,1,0
228,1578.0,0,1.9,1,2,1,37.0,0.1,138.0,4,19,411,1226,2458.0,19,16,3,1,0,1
229,1689.0,0,1.8,0,17,0,24.0,0.3,127.0,3,18,954,1200,2766.0,7,2,7,0,1,1
230,1488.0,0,0.5,0,1,0,39.0,0.8,112.0,5,6,1528,1647,3054.0,14,10,19,0,0,0
231,1313.0,1,1.8,1,4,0,9.0,0.4,105.0,1,6,416,1308,3791.0,11,10,6,0,1,1
232,1715.0,0,1.0,1,4,1,31.0,0.5,83.0,8,17,638,1615,625.0,17,6,13,1,0,0
233,1442.0,0,1.0,1,0,0,27.0,0.1,192.0,3,19,231,687,2227.0,6,5,20,1,1,0
234,528.0,0,1.7,0,12,1,6.0,0.8,142.0,2,15,574,637,3256.0,9,8,6,1,1,0
235,1523.0,1,1.8,0,6,1,11.0,0.1,129.0,1,8,148,1606,707.0,19,8,19,1,1,0
236,1133.0,0,1.4,0,3,0,42.0,0.1,199.0,5,12,730,1543,1457.0,18,12,20,1,0,1
237,1718.0,1,2.5,1,14,1,6.0,0.1,183.0,5,16,564,980,3755.0,7,1,8,1,1,1
238,1330.0,0,0.5,0,0,0,38.0,1.0,183.0,7,1,1290,1441,1733.0,9,0,11,1,0,1
239,1799.0,1,0.5,0,0,0,49.0,0.4,107.0,4,2,632,1383,720.0,12,2,11,1,1,1
240,633.0,1,2.2,0,0,1,49.0,0.1,139.0,8,1,529,1009,3560.0,11,1,16,1,1,1
241,724.0,0,2.7,1,0,0,44.0,0.5,187.0,7,0,1273,1754,2311.0,7,6,7,1,0,0
242,822.0,1,0.5,0,0,1,51.0,0.3,157.0,6,20,667,860,3846.0,10,1,3,1,0,0
243,1918.0,0,1.9,0,2,0,10.0,0.6,110.0,5,10,1170,1543,1717.0,7,1,16,1,1,1
